# Constructed from biom file
#OTU ID	P8-rep4	P5-rep4	P9-rep1	P9-rep5	P9-rep4	P5-rep1	P8-rep2	P8-rep1	P9-rep2	P9-rep3	P8-rep3	P5-rep5	P5-rep2	P5-rep3	P8-rep5
53913784a872c53357c15d0f814dc9a2	89.0	0.0	13.0	42.0	47.0	0.0	136.0	10.0	7.0	49.0	121.0	0.0	0.0	0.0	85.0
907b6853b8ab71e894cb1dca2a83ef99	89.0	0.0	0.0	0.0	0.0	0.0	128.0	18.0	0.0	0.0	47.0	0.0	0.0	0.0	76.0
aa85bcbf61773d41838e87e4f3ca8bdd	88.0	14.0	0.0	2.0	3.0	6.0	93.0	11.0	0.0	3.0	82.0	7.0	12.0	6.0	74.0
9e1e7ef024fdfdd8e8cf12c6949b684f	86.0	27.0	2.0	0.0	0.0	12.0	106.0	22.0	0.0	0.0	85.0	18.0	32.0	10.0	93.0
d9ee9552e244e9b464bffd6332b3c0c0	84.0	0.0	11.0	20.0	61.0	0.0	126.0	4.0	16.0	37.0	61.0	0.0	0.0	0.0	80.0
fb2d7fb642fef827795bdf2edb6317b6	84.0	2.0	7.0	33.0	43.0	0.0	126.0	20.0	10.0	48.0	87.0	0.0	0.0	0.0	82.0
fdcda47338299e0d3d55f18a306dde9b	84.0	9.0	0.0	3.0	0.0	0.0	125.0	19.0	0.0	1.0	54.0	0.0	3.0	2.0	96.0
9a64fcf0e531e7f6a032dcac2d57ca83	83.0	455.0	40.0	96.0	217.0	288.0	114.0	11.0	40.0	268.0	120.0	318.0	413.0	150.0	130.0
7ab1c399f03e344acef605793ce4e506	83.0	3.0	0.0	4.0	6.0	0.0	146.0	18.0	0.0	5.0	105.0	0.0	6.0	0.0	82.0
b31710682f6749d3d06c9253ac2e3049	82.0	5.0	21.0	31.0	35.0	8.0	109.0	9.0	17.0	151.0	75.0	3.0	13.0	4.0	81.0
34afb97a0c54a57b989ae90b2c819ee9	81.0	135.0	145.0	365.0	582.0	80.0	105.0	22.0	67.0	730.0	92.0	87.0	143.0	65.0	88.0
3ba37f81431a2a2f61c2aafc578189a6	79.0	0.0	0.0	0.0	0.0	0.0	117.0	19.0	0.0	0.0	76.0	0.0	0.0	0.0	79.0
3112f1848e51d6afca6333a59c5ff7e5	78.0	0.0	0.0	0.0	0.0	3.0	81.0	22.0	0.0	0.0	19.0	0.0	3.0	0.0	56.0
ff66b45cbedc40b8cfff27d62496a980	77.0	0.0	0.0	0.0	0.0	0.0	116.0	25.0	0.0	0.0	94.0	0.0	0.0	0.0	83.0
8bc05fcbc7c2aac0778749d21e5a42be	77.0	0.0	0.0	0.0	0.0	0.0	132.0	15.0	0.0	0.0	80.0	0.0	0.0	0.0	97.0
99f64c0ea5da66e61e4c6ea22a1b67bd	77.0	62.0	26.0	97.0	184.0	27.0	102.0	15.0	17.0	249.0	40.0	43.0	66.0	36.0	42.0
c5665fea4f83c0eaef166a7f1e415807	77.0	0.0	0.0	0.0	0.0	0.0	112.0	21.0	0.0	0.0	104.0	0.0	0.0	0.0	77.0
df2a4b147e6b62f2be6a14b8dc6fabf0	77.0	4.0	7.0	2.0	2.0	0.0	115.0	26.0	0.0	11.0	78.0	0.0	0.0	2.0	73.0
2802fec8153d4159939c762d5ec40b9f	76.0	6.0	6.0	17.0	13.0	3.0	100.0	11.0	2.0	15.0	76.0	0.0	5.0	0.0	71.0
92f6eb0c4a49ea807aeb7083d02012e8	75.0	0.0	0.0	0.0	0.0	1.0	110.0	13.0	0.0	0.0	73.0	0.0	0.0	0.0	79.0
6c8828a7737fffdcdebf330180a79e5d	75.0	3.0	0.0	0.0	0.0	2.0	165.0	21.0	0.0	0.0	83.0	0.0	2.0	2.0	103.0
8ed4490ed9e6c3df54ceb183cbb2caad	75.0	2.0	0.0	0.0	0.0	0.0	152.0	21.0	0.0	0.0	59.0	0.0	3.0	0.0	87.0
a31a6191329e2e85f6861e2150aa6472	73.0	6.0	0.0	0.0	15.0	2.0	136.0	6.0	0.0	0.0	84.0	9.0	7.0	1.0	49.0
9002c148440cab72a277ce81af85353d	73.0	0.0	8.0	19.0	40.0	0.0	96.0	10.0	5.0	29.0	63.0	0.0	0.0	0.0	91.0
48279b441908ac65fabb97c9907653ca	73.0	94.0	10.0	26.0	87.0	62.0	86.0	10.0	29.0	120.0	52.0	44.0	68.0	38.0	82.0
c5bea2f3ef82f59c2db9201ff8cbb725	72.0	81.0	19.0	57.0	101.0	55.0	75.0	15.0	16.0	94.0	74.0	49.0	106.0	22.0	74.0
72f671708d1104159584700b8f8c926a	71.0	108.0	77.0	226.0	680.0	93.0	107.0	14.0	69.0	488.0	70.0	75.0	106.0	43.0	90.0
cc8e697ac64b21866acd7fbf25e7c2f5	71.0	2.0	0.0	0.0	0.0	0.0	104.0	13.0	0.0	2.0	40.0	0.0	0.0	0.0	49.0
f977480d45d909a31386bf4a90deb7c2	71.0	1.0	17.0	72.0	92.0	2.0	113.0	10.0	14.0	108.0	54.0	0.0	0.0	0.0	66.0
ea15db54006ed38bd9710f9edc7859e7	71.0	0.0	0.0	0.0	0.0	0.0	169.0	20.0	0.0	0.0	59.0	0.0	0.0	0.0	43.0
95e13d777a8b58dbc32d96fc1d224954	71.0	0.0	5.0	7.0	5.0	0.0	58.0	11.0	3.0	11.0	45.0	0.0	0.0	0.0	53.0
435e26d1fa87102ba0ee7c158923c404	70.0	31.0	8.0	25.0	47.0	14.0	103.0	5.0	7.0	34.0	70.0	21.0	35.0	10.0	56.0
043516ee0fdaeb5b8a4f2307d7d09ca7	69.0	4.0	11.0	41.0	76.0	5.0	84.0	8.0	10.0	80.0	51.0	4.0	3.0	0.0	85.0
d85a153eaffc4cec848407a86ae907fb	68.0	0.0	0.0	0.0	0.0	0.0	157.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	80.0
9b26acb66c7c20ee09ce3213ebe93592	68.0	2.0	0.0	4.0	7.0	2.0	141.0	12.0	0.0	6.0	58.0	0.0	3.0	2.0	53.0
42426b77d4031b729b57c36d451e1ef3	68.0	0.0	0.0	0.0	0.0	0.0	83.0	12.0	0.0	0.0	63.0	0.0	0.0	0.0	54.0
db7b707c547bf0123895af1e238688f4	67.0	33.0	12.0	50.0	88.0	17.0	89.0	9.0	14.0	66.0	57.0	17.0	18.0	11.0	64.0
d845abea1ed16ba68f67c2e9e0162d6b	67.0	2.0	0.0	0.0	0.0	2.0	79.0	9.0	0.0	5.0	40.0	0.0	0.0	3.0	64.0
c9666533b0d39302cb00743769e06137	64.0	8.0	3.0	4.0	22.0	2.0	134.0	15.0	3.0	16.0	101.0	6.0	8.0	4.0	116.0
aa279c1008b2c378d3bc0ed92f90da65	64.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	14.0	8.0	0.0	0.0	2.0	7.0
7615d24f0c93bf328c939e50bad8c25e	63.0	0.0	0.0	0.0	0.0	0.0	48.0	9.0	0.0	0.0	38.0	0.0	0.0	0.0	46.0
4538341e06f949c9364893b09bc0f991	63.0	0.0	0.0	0.0	0.0	0.0	93.0	11.0	0.0	0.0	58.0	0.0	0.0	0.0	56.0
030c50710e182968b94bd736f885c883	61.0	0.0	5.0	24.0	26.0	0.0	142.0	8.0	2.0	19.0	99.0	0.0	0.0	0.0	87.0
0b4f16ee4fe58e097f4b1c227b158d82	61.0	6.0	2.0	0.0	7.0	4.0	90.0	15.0	0.0	10.0	88.0	11.0	7.0	2.0	88.0
b6a0b6e2aa6a2bd070483f6985bb82ee	60.0	182.0	161.0	364.0	652.0	122.0	32.0	3.0	60.0	636.0	3.0	139.0	309.0	141.0	57.0
24097ec2c16c54e33f933c4789975cd7	59.0	0.0	0.0	0.0	0.0	0.0	166.0	9.0	0.0	0.0	59.0	0.0	0.0	0.0	55.0
c89cd2143a10cbefd38bfbeef5474fbf	59.0	0.0	1.0	3.0	1.0	0.0	93.0	4.0	0.0	8.0	57.0	0.0	0.0	0.0	50.0
6bc81656b341f92cc3f866c812e48b57	59.0	37.0	260.0	587.0	1138.0	26.0	47.0	10.0	151.0	1161.0	41.0	28.0	34.0	15.0	50.0
c05e4f9f161b4e7ed33d50ffe66c1545	59.0	0.0	0.0	0.0	0.0	0.0	116.0	17.0	0.0	0.0	88.0	0.0	0.0	0.0	72.0
