sequence,1,2,3,4
0b2e6fcf8777bc1eb04db3a0971dc924,-5.78284899598734,-4.888409261677706,6.576187914368382, p__Actinobacteria
0b42b9aa911136458b950de55d2b927a,-4.911867861142853,-0.46123052029138367,-2.104672244165926, p__Proteobacteria
0b4f16ee4fe58e097f4b1c227b158d82,0.1045156136811761,-8.460480222899479,-4.634756605618903, p__Proteobacteria
0b5a13a0d6d38ded745103987781193e,-7.699909813638329,-8.978425412505503,-2.4119713851169062, p__Chloroflexi
0b80dba11d5099ab966a1b6531f9ddcc,-2.0851944387760235,16.224150485228407,-4.726705072671261, p__Proteobacteria
0b8645ef9a2127abb3ff47e1a7795a3d,-10.90059862600594,-1.9174744185918917,-2.1634648680041915, p__Acidobacteria
0b8b6abf622a7ff07d0b0d12aedeab33,4.596978174181064,-9.482118235430004,-4.248620306839801, p__Actinobacteria
0b9858b64f706e6c31810b4d0f19ab90,-10.90059862600594,-1.9174744185918917,-2.1634648680041915, p__Actinobacteria
0baaaad9b04f88c055dbe8239e3446eb,-0.7796623575225363,-10.144296002061836,-5.790309580861059, p__Proteobacteria
0bf1e5f6e0624d725fdf1bcf4a780de7,-8.122724941004126,-3.280120747298092,0.2972929141100288, p__Proteobacteria
0bf3ffa3ab954b20fba65d2f1f941647,-9.75074207039209,-0.26373792091809967,1.653535590988054, p__Actinobacteria
0c1ad2b741f92f97e01ab2cf07ac959c,-1.565893464507408,-10.840925913307347,-4.269597828763358, p__Actinobacteria
0c38eb513ea0d9a5569a18222580ead2,4.270301408382085,-0.4418803949859168,-2.5835289243108406, p__Verrucomicrobia
0c3bbee1ee92e6ef0d27ae494580f837,-11.80504055128551,-8.589178170299796,-1.3458408571831277, p__Acidobacteria
0c3dc6be9ca9499fac62cdcda7974571,-1.0309323729856474,4.066999462059323,-0.8806236655015875, p__Gemmatimonadetes
0c45a893689c859ecb861707160acd48,2.7745893663470405,-11.023496498114516,-6.434416514053354, p__Verrucomicrobia
0c58194a4d29f82f70c65c07050fb881,-10.90059862600594,-1.9174744185918917,-2.1634648680041915, p__Actinobacteria
0c836afa1919d5b9a50e285ef67513e0,-9.75074207039209,-0.26373792091809967,1.653535590988054, p__Acidobacteria
0c8fe84d7deb1a61a3a98b394e471e10,-0.7796623575225363,-10.144296002061836,-5.790309580861059, p__Chloroflexi
0ca76d74341dbc74274a63035be8f47f,-2.0851944387760235,16.224150485228407,-4.726705072671261, p__Proteobacteria
0cadad5b39728a6e60cf7c8d9a38f6c8,0.39440260539216776,-1.939441780856357,9.688010722496804, p__Actinobacteria
0cb4374497f6365884554973eac03016,10.8473207108195,0.9343344962674887,12.154259787490666, p__Acidobacteria
0cd39a50fa659bb964b757a360f85176,8.198665254916767,-2.1631289843997865,8.379225929801484, p__Planctomycetes
0cd7381561cba5932dae2f75b02a2f7b,-4.117435958281844,13.166059425242619,-4.592377097607413, p__Proteobacteria
0ce3bc1226c1806c3dd59b5d561db3ca,27.756812104492973,-1.8907418951554777,-13.831469458963584, p__Acidobacteria
0d01040f0c2e5a1bb9ed436962197c63,-7.699909813638329,-8.978425412505503,-2.4119713851169062, p__Actinobacteria
0d1229e0c7ff3bfdf7ee6268ed45a17b,14.207723122734476,-0.5210400417474427,13.368994954039511, p__Proteobacteria
0d174aed9e7038c5d4156acfe052b3ec,4.270301408382085,-0.4418803949859168,-2.5835289243108406, p__Verrucomicrobia
0d45acfec6accd4f6978f6f880530f00,-1.565893464507408,-10.840925913307347,-4.269597828763358, p__Proteobacteria
0d4cc760871d6e579703b473c803cb91,8.064630817931151,-2.6157849896701686,-7.930045855656689, p__Proteobacteria
0d59d8c2e676aa91cc87841c189fe30b,-1.565893464507408,-10.840925913307347,-4.269597828763358, p__Proteobacteria
0d9837a4b6e61d5c36340c8f899148a6,-8.650410970506924,-3.397987678662309,-0.005938321914644329, p__Proteobacteria
0daa029ed5d83179b2321332e8f2128f,-2.9713144904132287,-2.822642350406037,8.108359989610843, p__Acidobacteria
0dae85ae2b33e868228626729d4cbd01,-2.0851944387760235,16.224150485228407,-4.726705072671261, p__Acidobacteria
